Date,Price,Open,High,Low,Volume,Change %
10/01/2025,"114,282.70","114,048.70","126,186.00","103,632.70",2.04M,0.21%
9/01/2025,"114,048.50","108,247.30","117,910.40","107,274.70",1.34M,5.38%
8/01/2025,"108,226.80","115,766.70","124,436.80","107,433.40",1.58M,-6.51%
7/01/2025,"115,765.00","107,176.40","123,104.70","105,163.50",1.68M,8.02%
6/01/2025,"107,171.10","104,598.00","110,404.90","98,249.20",1.45M,2.46%
5/01/2025,"104,598.00","94,181.30","111,953.60","93,408.80",2.03M,11.06%
4/01/2025,"94,184.40","82,548.60","95,718.60","74,524.20",2.29M,14.10%
3/01/2025,"82,548.80","84,353.40","94,986.50","76,677.10",2.37M,-2.17%
2/01/2025,"84,381.20","102,421.30","102,770.80","78,329.80",2.40M,-10.74%
1/01/2025,"94,536.10","94,600.00","95,928.10","89,423.10",55.30K,1.05%
12/01/2024,"93,557.20","96,404.70","108,244.90","91,522.30",4.41M,-2.95%
11/01/2024,"96,405.70","70,278.70","99,617.40","66,834.00",4.16M,37.17%
10/01/2024,"70,281.80","63,329.90","73,569.40","59,075.70",2.56M,10.96%
9/01/2024,"63,339.20","58,975.70","66,440.70","52,644.60",2.34M,7.39%
8/01/2024,"58,978.60","64,625.70","65,587.90","49,486.90",2.56M,-8.74%
7/01/2024,"64,626.00","62,768.80","70,000.20","53,883.40",2.06M,2.98%
6/01/2024,"62,754.30","67,533.90","71,956.50","58,589.90",1.60M,-7.07%
5/01/2024,"67,530.10","60,665.00","71,872.00","56,643.50",2.10M,11.31%
4/01/2024,"60,666.60","71,329.30","72,710.80","59,228.70",2.66M,-14.95%
3/01/2024,"71,332.00","61,157.30","73,740.90","60,138.20",2.70M,16.61%
2/01/2024,"61,169.30","42,580.10","63,915.30","41,890.50",1.74M,43.66%
1/01/2024,"42,580.50","42,272.50","48,923.70","38,546.90",2.03M,0.73%
12/01/2023,"42,272.50","37,712.90","44,697.60","37,618.30",1.63M,12.09%
11/01/2023,"37,712.90","34,648.30","38,400.80","34,124.20",1.48M,8.84%
10/01/2023,"34,650.60","26,962.50","35,191.40","26,558.40",1.61M,28.51%
9/01/2023,"26,962.70","25,938.30","27,480.70","24,923.10",1.15M,3.95%
8/01/2023,"25,937.30","29,232.30","30,168.60","25,481.90",1.34M,-11.27%
7/01/2023,"29,232.40","30,472.90","31,764.50","28,890.70",1.23M,-4.07%
6/01/2023,"30,472.90","27,216.40","31,395.40","24,838.00",1.77M,11.97%
5/01/2023,"27,216.10","29,252.10","29,816.40","25,853.10",1.66M,-6.96%
4/01/2023,"29,252.10","28,473.70","30,964.90","27,054.30",2.03M,2.73%
3/01/2023,"28,473.70","23,130.60","29,160.40","19,591.80",10.26M,23.10%
2/01/2023,"23,130.50","23,124.70","25,236.80","21,418.70",9.09M,0.02%
1/01/2023,"23,125.10","16,537.50","23,952.90","16,499.70",8.98M,39.83%
12/01/2022,"16,537.40","17,163.40","18,351.80","16,331.20",6.61M,-3.65%
11/01/2022,"17,163.90","20,496.10","21,464.70","15,504.20",10.30M,-16.26%
10/01/2022,"20,496.30","19,422.90","21,038.10","18,207.90",8.29M,5.53%
9/01/2022,"19,423.00","20,049.90","22,702.50","18,191.80",10.91M,-3.10%
8/01/2022,"20,043.90","23,303.40","25,205.70","19,542.90",6.55M,-13.99%
7/01/2022,"23,303.40","19,926.60","24,605.30","18,794.40",5.79M,16.95%
6/01/2022,"19,926.60","31,793.10","31,969.90","17,630.50",3.79M,-37.32%
5/01/2022,"31,793.40","37,642.00","40,021.00","26,500.50",4.67B,-15.56%
4/01/2022,"37,650.00","45,529.00","47,435.00","37,596.00",12.14B,-17.30%
3/01/2022,"45,525.00","43,187.20","48,199.00","37,182.10",43.70B,5.41%
2/01/2022,"43,188.20","38,475.60","45,755.20","34,357.40",1.82M,12.18%
1/01/2022,"38,498.60","46,217.50","47,944.90","32,985.60",2.03M,-16.70%
12/01/2021,"46,219.50","56,891.70","59,064.30","42,587.80",1.90M,-18.75%
11/01/2021,"56,882.90","61,310.10","68,990.60","53,448.30",1.85M,-7.22%
10/01/2021,"61,309.60","43,824.40","66,967.10","43,292.90",2.18M,39.90%
9/01/2021,"43,823.30","47,129.20","52,885.30","39,646.80",2.21M,-7.02%
8/01/2021,"47,130.40","41,510.00","50,498.80","37,365.40",2.14M,13.42%
7/01/2021,"41,553.70","35,030.70","42,285.30","29,310.20",2.44M,18.63%
6/01/2021,"35,026.90","37,294.30","41,318.00","28,901.80",4.14M,-6.09%
5/01/2021,"37,298.60","57,719.10","59,523.90","30,261.70",5.33M,-35.38%
4/01/2021,"57,720.30","58,763.20","64,778.00","47,098.50",2.97M,-1.78%
3/01/2021,"58,763.70","45,160.50","61,795.80","45,008.80",3.01M,30.11%
2/01/2021,"45,164.00","33,106.80","58,335.10","32,324.90",4.01M,36.41%
1/01/2021,"33,108.10","28,951.70","41,921.70","28,204.50",5.50M,14.37%
12/01/2020,"28,949.40","19,697.80","29,298.80","17,600.10",3.85M,46.97%
11/01/2020,"19,698.10","18,394.60","19,831.20","16,235.20",4.05M,42.77%
10/01/2020,"13,797.30","10,776.60","14,065.40","10,387.60",2.41M,28.04%
9/01/2020,"10,776.10","11,644.20","12,045.90","9,877.10",83.88M,-7.46%
8/01/2020,"11,644.20","11,333.20","12,444.10","10,730.70",15.39M,2.74%
7/01/2020,"11,333.40","10,961.10","11,434.80","10,771.80",13.21M,24.06%
6/01/2020,"9,135.40","9,454.50","10,301.80","8,865.30",15.35M,-3.38%
5/01/2020,"9,454.80","8,628.60","10,033.00","8,235.60",38.48M,9.57%
4/01/2020,"8,629.00","6,412.40","9,437.50","6,157.40",39.41M,34.56%
3/01/2020,"6,412.50","8,543.80","9,180.80","3,869.50",48.24M,-24.94%
2/01/2020,"8,543.70","9,349.30","10,482.60","8,543.70",23.76M,-8.62%
1/01/2020,"9,349.10","7,196.40","9,569.00","6,884.10",23.56M,29.91%
12/01/2019,"7,196.40","7,546.50","7,702.20","6,462.20",21.03M,-4.64%
11/01/2019,"7,546.60","9,153.10","9,500.40","6,534.80",21.33M,-17.55%
10/01/2019,"9,152.60","8,285.00","10,540.00","7,329.20",19.93M,10.48%
9/01/2019,"8,284.30","9,594.70","10,896.20","7,749.00",13.58M,-13.65%
8/01/2019,"9,594.40","10,081.90","12,291.90","9,343.00",17.53M,-4.84%
7/01/2019,"10,082.00","10,821.40","13,134.40","9,082.60",23.61M,-6.81%
6/01/2019,"10,818.60","8,556.90","13,929.80","7,480.40",22.96M,26.41%
5/01/2019,"8,558.30","5,321.10","9,045.90","5,319.50",44.06M,60.85%
4/01/2019,"5,320.80","4,102.30","5,594.40","4,076.80",54.03M,29.70%
3/01/2019,"4,102.30","3,816.70","4,138.10","3,681.80",81.62M,7.49%
2/01/2019,"3,816.60","3,437.70","4,194.20","3,382.50",23.13M,11.04%
1/01/2019,"3,437.20","3,709.50","4,070.50","3,368.20",15.72M,-7.34%
12/01/2018,"3,709.40","4,038.70","4,316.10","3,177.00",15.70M,-8.18%
11/01/2018,"4,039.70","6,365.90","6,594.30","3,634.20",8.71M,-36.54%
10/01/2018,"6,365.90","6,635.20","7,358.40","6,034.90",58.80M,-4.06%
9/01/2018,"6,635.20","7,032.40","7,409.90","5,977.00",154.15M,-5.67%
8/01/2018,"7,033.80","7,728.50","7,753.20","5,898.30",63.25M,-9.00%
7/01/2018,"7,729.40","6,398.50","8,484.60","6,398.50",7.06M,20.79%
6/01/2018,"6,398.90","7,502.50","7,775.00","5,785.30",4.78M,-14.71%
5/01/2018,"7,502.60","9,245.10","9,992.80","7,069.80",5.04M,-18.85%
4/01/2018,"9,245.10","6,939.10","9,753.10","6,460.10",6.22M,33.25%
3/01/2018,"6,938.20","10,335.10","11,506.90","6,603.80",7.61M,-32.86%
2/01/2018,"10,333.90","10,266.20","11,791.50","5,996.60",8.54M,0.67%
1/01/2018,"10,265.40","13,850.50","17,252.80","9,271.30",4.84M,-25.88%
12/01/2017,"13,850.40","9,947.10","19,870.60","9,420.90",5.12M,39.25%
11/01/2017,"9,946.80","6,449.10","11,417.80","5,493.60",3.96M,54.18%
10/01/2017,"6,451.20","4,360.60","6,467.20","4,143.40",2.98M,47.94%
9/01/2017,"4,360.60","4,735.10","4,976.50","2,979.90",3.93M,-7.91%
8/01/2017,"4,735.10","2,883.30","4,765.10","2,659.60",3.13M,64.23%
7/01/2017,"2,883.30","2,480.60","2,932.80","1,809.00",3.75M,16.23%
6/01/2017,"2,480.60","2,303.30","2,985.10","2,125.60",3.35M,7.70%
5/01/2017,"2,303.30","1,351.90","2,781.80","1,342.80",3.45M,70.38%
4/01/2017,"1,351.90","1,079.10","1,358.90",841.5,1.56M,25.28%
3/01/2017,"1,079.10","1,189.30","1,330.40",890.4,2.68M,-9.26%
2/01/2017,"1,189.30",965.5,"1,211.70",924.7,1.31M,23.18%
1/01/2017,965.5,963.4,"1,150.60",739.5,2.21M,0.22%
12/01/2016,963.4,742.5,982.6,741.1,1.27M,29.75%
11/01/2016,742.5,698.7,755.3,670.4,1.23M,6.27%
10/01/2016,698.7,608.1,720.2,606.5,905.66K,14.89%
9/01/2016,608.1,573.9,705,569.3,748.55K,5.97%
8/01/2016,573.9,621.9,627.9,471.4,1.08M,-7.72%
7/01/2016,621.9,670,701.5,605,1.63M,-7.19%
6/01/2016,670,528.9,776,521.3,3.55M,26.68%
5/01/2016,528.9,448.5,548,435.4,1.66M,17.92%
4/01/2016,448.5,415.7,468.9,412.4,1.39M,7.91%
3/01/2016,415.7,436.2,439,386.9,1.66M,-4.71%
2/01/2016,436.2,369.8,447.6,365.3,1.99M,17.95%
1/01/2016,369.8,430,462.9,350.4,2.49M,-13.98%
12/01/2015,430,378,467.7,347.2,3.20M,13.75%
11/01/2015,378,311.2,492.8,292.4,4.29M,21.44%
10/01/2015,311.2,235.9,334.9,234.7,2.28M,31.92%
9/01/2015,235.9,229.5,246.4,224.1,1.65M,2.82%
8/01/2015,229.5,283.7,285.7,196.3,2.22M,-19.12%
7/01/2015,283.7,264.1,315.9,243.2,1.86M,7.42%
6/01/2015,264.1,229.8,268.7,221,1.75M,14.91%
5/01/2015,229.8,235.8,247.9,228.2,1.64M,-2.52%
4/01/2015,235.8,244.1,261.5,214.1,2.07M,-3.43%
3/01/2015,244.1,254.1,301,234.8,2.97M,-3.90%
2/01/2015,254.1,218.5,264.6,209.7,2.09M,16.27%
1/01/2015,218.5,318.2,321.4,157.3,1.56M,-31.34%
12/01/2014,318.2,374.9,384.9,303.4,847.29K,-15.12%
11/01/2014,374.9,337.9,480.5,319.8,711.11K,10.97%
10/01/2014,337.9,388.2,407.7,294.9,569.00K,-12.96%
9/01/2014,388.2,481.8,498.5,372.6,295.62K,-19.43%
8/01/2014,481.8,589.5,608.2,450,126.17K,-18.28%
7/01/2014,589.5,635.1,652.5,564,107.22K,-7.18%
6/01/2014,635.1,627.9,676.5,560.8,111.81K,1.15%
5/01/2014,627.9,445.6,629,420.2,85.75K,40.90%
4/01/2014,445.6,444.7,549,355.7,161.16K,0.22%
3/01/2014,444.7,573.9,695.4,262.8,94.27K,-22.53%
2/01/2014,573.9,938.8,969.2,91.7,996.35K,-38.87%
1/01/2014,938.8,805.9,"1,093.40",771,306.25K,16.49%
12/01/2013,805.9,"1,205.70","1,239.90",454.9,920.80K,-33.15%
11/01/2013,"1,205.70",211.2,"1,241.90",209.7,1.13M,470.94%
10/01/2013,211.2,141.9,233.4,109.7,753.58K,48.82%
9/01/2013,141.9,141,148.9,121.3,451.29K,0.64%
8/01/2013,141,106.2,148.7,101,604.91K,32.76%
7/01/2013,106.2,97.5,111.7,65.4,1.14M,8.92%
6/01/2013,97.5,128.8,130.1,88,1.05M,-24.31%
5/01/2013,128.8,139.2,140.1,79,2.07M,-7.48%
4/01/2013,139.2,93,266,50,4.73M,49.66%
3/01/2013,93,33.4,95.7,32.9,2.12M,178.70%
2/01/2013,33.4,20.4,34.5,18,1.58M,63.55%
1/01/2013,20.4,13.5,21.4,13.2,1.46M,51.07%
12/01/2012,13.5,12.6,13.9,12.4,876.92K,7.48%
11/01/2012,12.6,11.2,12.6,10.3,804.19K,12.23%
